,Date,Transaction Date,Transaction Type,Price,Coffee Order
0,2025-02-08,2025-02-08 14:26:04,cash,15.0,Tea
1,2025-02-08,2025-02-08 14:28:26,cash,15.0,Tea
2,2025-02-08,2025-02-08 14:33:04,card,20.0,Espresso
3,2025-02-08,2025-02-08 15:51:04,card,30.0,Chocolate with coffee
4,2025-02-08,2025-02-08 16:35:01,cash,27.0,Chocolate with milk
5,2025-02-08,2025-02-08 18:55:30,card,33.0,Espresso
6,2025-02-08,2025-02-08 18:59:03,cash,29.0,Coffee with Irish whiskey
7,2025-02-08,2025-02-08 19:00:28,cash,27.0,Irish whiskey with milk
8,2025-02-09,2025-02-09 08:45:45,card,28.0,Double Irish whiskey
9,2025-02-09,2025-02-09 10:41:36,cash,30.0,Chocolate with coffee
10,2025-02-09,2025-02-09 10:42:55,cash,27.0,Double espresso
11,2025-02-09,2025-02-09 12:18:53,cash,25.0,Americano with milk
12,2025-02-09,2025-02-09 13:28:56,card,20.0,Espresso
13,2025-02-09,2025-02-09 15:16:48,card,30.0,Cappuccino
14,2025-02-09,2025-02-09 15:43:17,card,32.0,Double espresso with milk
15,2025-02-09,2025-02-09 16:14:26,card,28.0,Double Irish whiskey
16,2025-02-09,2025-02-09 16:23:52,card,28.0,Caramel with Irish whiskey
17,2025-02-09,2025-02-09 16:25:15,card,33.0,Latte
18,2025-02-09,2025-02-09 17:47:17,card,33.0,Latte
19,2025-02-09,2025-02-09 18:01:22,card,25.0,Americano with milk
20,2025-02-09,2025-02-09 18:01:22,card,33.0,Latte
21,2025-02-09,2025-02-09 18:01:22,card,15.0,Tea
22,2025-02-09,2025-02-09 18:02:39,card,28.0,Caramel with Irish whiskey
23,2025-02-09,2025-02-09 19:50:36,cash,29.0,Coffee with Irish whiskey
24,2025-02-10,2025-02-10 09:26:07,cash,25.0,Americano
25,2025-02-10,2025-02-10 12:26:32,cash,25.0,Americano
26,2025-02-10,2025-02-10 18:21:29,cash,27.0,Chocolate with milk
27,2025-02-11,2025-02-11 09:49:22,card,15.0,Tea
28,2025-02-11,2025-02-11 18:35:30,card,25.0,Americano
29,2025-02-12,2025-02-12 17:57:46,cash,27.0,Chocolate with milk
30,2025-02-13,2025-02-13 07:55:09,card,33.0,Latte
31,2025-02-13,2025-02-13 08:12:14,card,32.0,Double espresso with milk
32,2025-02-13,2025-02-13 08:47:48,card,30.0,Cappuccino
33,2025-02-13,2025-02-13 10:28:04,card,25.0,Americano with milk
34,2025-02-14,2025-02-14 12:33:35,card,20.0,Espresso
35,2025-02-14,2025-02-14 14:27:58,cash,20.0,Espresso
36,2025-02-14,2025-02-14 14:33:41,card,28.0,Double Irish whiskey
37,2025-02-14,2025-02-14 16:09:35,cash,20.0,Espresso
38,2025-02-14,2025-02-14 19:02:15,card,20.0,Espresso
39,2025-02-14,2025-02-14 19:24:49,cash,27.0,Chocolate with milk
40,2025-02-14,2025-02-14 19:30:59,card,29.0,Coffee with Irish whiskey
41,2025-02-14,2025-02-14 19:53:26,card,28.0,Super chocolate
42,2025-02-14,2025-02-14 19:54:48,card,28.0,Double Irish whiskey
43,2025-02-15,2025-02-15 09:38:59,card,25.0,Americano
44,2025-02-15,2025-02-15 11:10:57,card,27.0,Double vanilla
45,2025-02-15,2025-02-15 13:43:38,cash,30.0,Mochaccino
46,2025-02-15,2025-02-15 13:45:12,cash,27.0,Irish whiskey with milk
47,2025-02-15,2025-02-15 15:33:24,card,15.0,Tea
48,2025-02-15,2025-02-15 15:35:50,card,25.0,Americano with milk
49,2025-02-15,2025-02-15 15:48:07,card,25.0,Americano with milk
50,2025-02-16,2025-02-16 16:36:54,card,33.0,Latte
